0:0:0:0:0:0:0:1 - - [07/Apr/2026:15:41:36 +0200] "GET /Annuaire/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2026:15:41:40 +0200] "GET / HTTP/1.1" 200 11235
0:0:0:0:0:0:0:1 - - [07/Apr/2026:15:56:07 +0200] "GET /front HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Apr/2026:15:56:07 +0200] "GET /front HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Apr/2026:15:56:07 +0200] "GET /front HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Apr/2026:15:56:07 +0200] "GET /front HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Apr/2026:15:56:07 +0200] "GET /front HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Apr/2026:15:56:07 +0200] "GET /front HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Apr/2026:15:56:07 +0200] "GET / HTTP/1.1" 200 11235
0:0:0:0:0:0:0:1 - - [07/Apr/2026:15:56:11 +0200] "GET /front HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Apr/2026:15:56:11 +0200] "GET /front/ HTTP/1.1" 200 3035
0:0:0:0:0:0:0:1 - - [07/Apr/2026:15:56:11 +0200] "GET /front/styles.css HTTP/1.1" 200 6556
0:0:0:0:0:0:0:1 - - [07/Apr/2026:15:56:11 +0200] "GET /front/assets/images/Deck.png HTTP/1.1" 200 19276
0:0:0:0:0:0:0:1 - - [07/Apr/2026:15:56:11 +0200] "GET /front/assets/images/Wild_Draw.png HTTP/1.1" 200 25475
0:0:0:0:0:0:0:1 - - [07/Apr/2026:15:56:11 +0200] "GET /front/assets/images/Red_Skip.png HTTP/1.1" 200 26495
0:0:0:0:0:0:0:1 - - [07/Apr/2026:15:56:11 +0200] "GET /front/script.js HTTP/1.1" 200 12311
0:0:0:0:0:0:0:1 - - [07/Apr/2026:15:56:11 +0200] "GET /front/assets/sons/background.mp3 HTTP/1.1" 206 5572814
0:0:0:0:0:0:0:1 - - [07/Apr/2026:15:56:16 +0200] "POST /front/api/joueurs HTTP/1.1" 404 706
0:0:0:0:0:0:0:1 - - [07/Apr/2026:15:57:23 +0200] "POST /front/api/joueurs HTTP/1.1" 404 706
0:0:0:0:0:0:0:1 - - [07/Apr/2026:15:57:33 +0200] "POST /front/api/joueurs HTTP/1.1" 404 706
0:0:0:0:0:0:0:1 - - [07/Apr/2026:16:00:51 +0200] "GET /front/ HTTP/1.1" 200 3035
0:0:0:0:0:0:0:1 - - [07/Apr/2026:16:00:51 +0200] "GET /front/styles.css HTTP/1.1" 200 6556
0:0:0:0:0:0:0:1 - - [07/Apr/2026:16:00:51 +0200] "GET /front/assets/images/Red_Skip.png HTTP/1.1" 200 26495
0:0:0:0:0:0:0:1 - - [07/Apr/2026:16:00:51 +0200] "GET /front/script.js HTTP/1.1" 200 12315
0:0:0:0:0:0:0:1 - - [07/Apr/2026:16:00:51 +0200] "GET /front/assets/images/Wild_Draw.png HTTP/1.1" 200 25475
0:0:0:0:0:0:0:1 - - [07/Apr/2026:16:00:51 +0200] "GET /front/assets/images/Deck.png HTTP/1.1" 200 19276
0:0:0:0:0:0:0:1 - - [07/Apr/2026:16:00:51 +0200] "GET /front/assets/sons/background.mp3 HTTP/1.1" 206 5572814
0:0:0:0:0:0:0:1 - - [07/Apr/2026:16:00:52 +0200] "GET /front/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2026:16:00:52 +0200] "GET /front/assets/sons/background.mp3 HTTP/1.1" 206 5572814
0:0:0:0:0:0:0:1 - - [07/Apr/2026:16:00:52 +0200] "GET /front/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2026:16:00:56 +0200] "POST /back/joueurs HTTP/1.1" 201 34
0:0:0:0:0:0:0:1 - - [07/Apr/2026:16:01:32 +0200] "GET /front/assets/sons/background.mp3 HTTP/1.1" 206 198862
0:0:0:0:0:0:0:1 - - [07/Apr/2026:16:01:36 +0200] "GET /back/joueurs HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [07/Apr/2026:16:01:43 +0200] "GET /back/joueurs HTTP/1.1" 200 36
